A Coruña، Spain;A Coruña Airport;LCG
Groningen، Netherlands;Groningen Airport Eelde;GRQ
Grozny، Russia;Grozny Airport;GRV
Guadalajara، Mexico;Guadalajara International Airport;GDL
Guangzhou، China;Guangzhou Baiyun International Airport;CAN
Guatemala City، Guatemala;La Aurora International Airport;GUA
Guayaquil، Ecuador;José Joaquín de Olmedo International Airport;GYE
Guilin، China;Guilin Liangjiang International Airport;KWL
Guiyang، China;Guiyang Longdongbao International Airport;KWE
Gulfport، United States;Gulfport-Biloxi International Airport;GPT
Gulu, Uganda;Gulu Airport;ULU
Guwahati، India;Lokpriya Gopinath Bordoloi International Airport;GAU
Gwadar، Pakistan;Gwadar International Airport;GWD
Győr، Hungary;Győr-Pér International Airport;QGY
Gyumri، Armenia;Gyumri Shirak International Airport;LWN
Hà Nội، Vietnam;Noi Bai International Airport;HAN
Hafar al-Batin، Saudi Arabia;Al Qaisumah International Airport;AQI
Hagåtña، Guam;Antonio B. Won Pat International Airport;GUM
Hai District, Tanzania;Kilimanjaro International Airport;JRO
Hải Phòng، Vietnam;Cat Bi International Airport;HPH
Haifa، Palestine;Haifa Airport;HFA
Haikou، China;Haikou Meilan International Airport;HAK
Ha'il، Saudi Arabia;Ha'il International Airport;HAS
Hakodate، Japan;Hakodate Airport;HKD
Ħal Luqa، Malta;Malta International Airport;MLA
Halifax (Goffs)، Canada;Halifax Stanfield International Airport;YHZ
Hamadan، Iran;Hamadan International Airport;HDM
Hambantota، Sri Lanka;Mattala Rajapaksa International Airport;HRI
Hamburg، Germany;Hamburg Airport;HAM
Hamilton، Bermuda;L.F. Wade International Airport;BDA
Hamilton، Canada;John C. Munro Hamilton International Airport;YHM
Hamilton، New Zealand;Hamilton Airport;HLZ
Hanak، Saudi Arabia;Red Sea International Airport;RSI
Hanga Roa، Easter Island;Mataveri International Airport;IPC
Hangzhou، China;Hangzhou Xiaoshan International Airport;HGH
Hanimaadhoo، Maldives;Hanimaadhoo International Airport;HAQ
Hanover، Germany;Hannover Airport;HAJ
